File_Ops_Created,File_Ops_Modified,File_Ops_Renamed,File_Ops_Deleted,Registry_Ops_Written,Process_Ops_Spawned,Unique_Extensions_Touched,Target_Label
130232,10783,121,204,1747,53,227,1
115521,10771,106,186,1550,57,214,0
101282,10054,116,200,1382,41,191,1
119679,8741,100,176,1808,53,233,0
78153,3785,27,23,360,35,172,0
130244,8948,93,175,2074,60,233,1
114999,8003,91,172,1742,48,226,1
140601,11290,123,212,2202,63,233,1
112444,7559,244,166,1885,58,218,0
127712,11045,123,208,1748,46,222,1
82172,8185,97,112,1172,34,174,1
109861,11010,116,199,1461,39,210,0
110056,10612,116,200,1445,40,196,1
104454,10146,116,201,1390,40,205,1
118729,11659,143,204,1528,44,223,0
122968,11940,148,205,1720,47,227,0
149574,12430,125,213,2335,73,240,1
121220,10647,121,200,1665,48,223,1
117397,10960,119,206,1539,45,220,0
150385,12383,125,213,2473,74,241,1
80648,7820,97,113,1148,32,174,1
110229,7923,93,175,1513,39,210,1
124848,9960,297,186,1770,48,232,0
63877,3339,44,15,668,20,178,0
141761,11913,123,212,2181,65,236,1
150023,11832,125,216,2325,72,245,1
135312,11876,155,208,1973,59,233,0
104135,10393,116,200,1395,38,195,1
128573,11203,121,205,1866,50,230,1
123400,11453,121,209,1743,48,231,1
109023,10236,317,199,1431,40,207,0
128862,11168,121,209,1917,51,235,0
125406,11099,121,207,1763,52,232,1
138742,11407,123,214,2166,60,238,0
127908,11105,121,205,1864,51,230,1
103693,9722,116,201,1390,39,204,0
139191,11717,123,212,2184,63,234,0
136727,11770,140,208,2017,63,233,0
148351,11845,125,214,2307,69,241,1
62634,4854,29,25,224,17,175,0
100270,9048,316,203,1369,39,197,0
103278,10407,116,200,1407,38,196,1
143595,11677,123,214,2168,65,239,0
145561,11996,125,214,2252,67,237,1
115930,10809,121,202,1499,44,221,1
144333,11915,123,214,2222,65,237,1
79696,8130,97,113,1144,30,171,1
115837,11132,116,202,1578,43,206,1
68642,6394,60,68,287,19,168,1
59566,3371,58,22,151,16,175,0
144305,11888,123,212,2240,65,238,1
126343,11441,125,212,1708,60,219,0
133734,12167,126,214,1770,56,221,0
106402,10752,116,201,1424,40,206,1
147892,12163,142,213,2230,72,238,0
148823,11871,125,219,2240,70,242,1
148079,12351,125,215,2266,73,242,1
139723,11942,123,211,2125,64,237,1
149140,12245,125,214,2287,73,239,1
142302,12100,125,217,2088,70,243,0
103632,10119,116,202,1382,38,195,1
133348,11416,123,208,2130,56,230,1
126733,11300,123,210,1846,50,235,1
143070,12912,138,213,2098,68,239,0
122898,10940,121,205,1774,50,225,1
92202,9097,99,121,1191,37,192,1
97884,8899,103,184,1337,37,190,1
129204,10237,128,213,1708,62,223,0
97323,8914,242,122,1401,40,192,0
128261,10999,121,206,1847,52,230,1
146308,12205,127,217,2260,69,237,1
149818,12750,133,217,1984,78,238,0
132292,11174,123,207,1972,63,231,1
124745,11082,123,207,1690,48,224,0
94498,8547,98,115,1245,41,189,1
100115,9209,103,183,1358,40,190,1
127979,11912,121,206,1845,53,229,1
131001,12037,123,209,1947,56,230,0
61818,2975,26,24,152,18,158,1
124473,11367,121,206,1657,49,227,0
132791,11880,123,206,1970,60,232,1
142606,11537,123,212,2244,64,237,1
94981,8398,98,114,1234,40,176,1
133541,11675,143,205,1966,64,233,0
125932,11250,121,206,1722,50,225,1
97309,9013,122,121,1265,40,194,0
130937,11634,123,211,1771,58,232,0
144069,11959,130,215,2095,68,237,0
111636,8637,101,185,1422,50,212,0
126674,11528,123,206,1725,57,224,1
127197,11636,123,206,1850,51,229,0
103330,9515,116,201,1395,41,208,1
148099,12046,125,217,2261,75,243,1
128101,11536,123,208,1939,53,230,0
98321,8601,100,173,1281,41,193,1
127712,11040,263,206,1897,54,229,0
126614,11779,121,207,1820,51,229,1
109962,11054,116,199,1457,39,208,1
